date,amount,category,description
01-07-2024,1200.00,Income,Monthly Salary
05-07-2024,25.00,Expense,Groceries
06-07-2024,10.00,Expense,Coffee Shop
08-07-2024,15.00,Expense,Dinner
10-07-2024,15.00,Expense,Dinner
12-07-2024,20.00,Expense,Movie Ticket
15-07-2024,30.00,Expense,Shopping
18-07-2024,15.00,Expense,Books
20-07-2024,50.00,Expense,Rent
25-07-2024,100.00,Income,Freelance Project
26-07-2024,15.00,Expense,Gym Membership
30-07-2024,20.00,Expense,Entertainment
01-08-2024,1200.00,Income,Monthly Salary
05-08-2024,35.00,Expense,Groceries
06-08-2024,12.00,Expense,Lunch
08-08-2024,20.00,Expense,Movie Ticket
10-08-2024,20.00,Expense,Movie Ticket
12-08-2024,18.00,Expense,Dinner
15-08-2024,40.00,Expense,Clothes
18-08-2024,10.00,Expense,Coffee Shop
20-08-2024,50.00,Expense,Rent
25-08-2024,150.00,Income,Bonus
26-08-2024,20.00,Expense,Gym Membership
30-08-2024,25.00,Expense,Dining Out
01-09-2024,1200.00,Income,Monthly Salary
05-09-2024,40.00,Expense,Groceries
06-09-2024,15.00,Expense,Coffee Shop
08-09-2024,30.00,Expense,Books
10-09-2024,30.00,Expense,Books
12-09-2024,25.00,Expense,Dinner
15-09-2024,50.00,Expense,Phone Bill
18-09-2024,12.00,Expense,Lunch
20-09-2024,50.00,Expense,Rent
25-09-2024,200.00,Income,Side Hustle Earnings
26-09-2024,20.00,Expense,Gym Membership
30-09-2024,35.00,Expense,Travel
05-10-2024,11.34,Expense,Entertainment
10-10-2024,67.23,Expense,Nachos buffet
15-10-2024,11.23,Income,miscellanous cash
25-10-2024,20.31,Expense,Dinner
25-10-2024,10.00,Income,bus fare change
25-10-2024,3.99,Expense,coffee
25-10-2024,1500.0,Income,payment for side gig
26-10-2024,23.11,Expense,
26-10-2024,11.56,Income,music stream
28-10-2024,10.54,Income,payment
28-10-2024,23.75,Expense,beans & bread
26-10-2024,23.11,Expense,
16-10-2024,11.56,Income,music stream
18-10-2024,10.54,Income,payment
10-10-2024,23.75,Expense,beans & bread
11-10-2024,32.29,Expense,data recharge
29-10-2024,9.19,Expense,foodstuff
30-10-2024,10.33,Expense,
30-10-2024,11.12,Income,
30-10-2024,10.00,Expense,
